access,gateway,3.791666667,[0.035175879396984924,7,199,-0.9591836735,-94,98,0.0179028133,7,391
account,explanation,2,0.2412060302,48,199,-0.7558139535,-65,86,0.1371428571,48,350
account,invoice,3.75,0.1005025126,20,199,-0.8842105263,-84,95,0.0529100529,20,378
account,statement,3.681818182,0.1507537688,30,199,-0.8369565217,-77,92,0.0815217391,30,368
acoustic,remedy,1.227272727,0,0,199,-0.99,-99,100,0,0,398
acrylic,cloth,2.739130435,0.0954773869,19,199,-0.8947368421,-85,95,0.0501319261,19,379
action,adjustment,2,0.0552763819,11,199,-0.9381443299,-91,97,0.0284237726,11,387
action,entrance,1.583333333,0,0,199,-0.99,-99,100,0,0,398
activity,event,4.083333333,0.0201005025,4,199,-0.9696969697,-96,99,0.0101522843,4,394
activity,music,2.681818182,0,0,199,-0.99,-99,100,0,0,398
activity,skiing,3.45,0,0,199,-0.99,-99,100,0,0,398
addition,segment,2.5,0,0,199,-0.99,-99,100,0,0,398
adhesive,glue,4.608695652,0.4924623116,98,199,-0.5074626866,-34,67,0.3266666667,98,300
adult,dentist,2.47826087,0.0502512563,10,199,-0.9484536082,-92,97,0.0257731959,10,388
adult,doctor,2.782608696,0.0502512563,10,199,-0.9484536082,-92,97,0.0257731959,10,388
afternoon,substance,1,0,0,199,-0.99,-99,100,0,0,398
age,childhood,3.782608696,0.1457286432,29,199,-0.847826087,-78,92,0.0785907859,29,369
agency,army,2.916666667,0.0351758794,7,199,-0.9591836735,-94,98,0.0179028133,7,391
agency,office,3.857142857,0.1105527638,22,199,-0.8829787234,-83,94,0.0585106383,22,376
agency,police,3.19047619,0.1206030151,24,199,-0.8617021277,-81,94,0.064171123,24,374
agent,spy,4,0.1105527638,22,199,-0.8829787234,-83,94,0.0585106383,22,376
agreement,contract,4.476190476,0.4924623116,98,199,-0.5074626866,-34,67,0.3266666667,98,300
aim,purpose,4.363636364,0.7386934673,147,199,-0.2380952381,-10,42,0.5856573705,147,251
aircraft,balloon,2.869565217,0.2261306533,45,199,-0.7701149425,-67,87,0.1274787535,45,353
aircraft,yacht,2.434782609,0.4070351759,81,199,-0.5733333333,-43,75,0.2555205047,81,317
alarm,horn,3.458333333,0.0251256281,5,199,-0.9595959596,-95,99,0.0127226463,5,393
alarm,press,2,0,0,199,-0.99,-99,100,0,0,398
algorithm,search,1.863636364,0.0201005025,4,199,-0.9696969697,-96,99,0.0101522843,4,394
alien,stranger,3.428571429,0.2361809045,47,199,-0.7471264368,-65,87,0.1339031339,47,351
alloy,metal,3.954545455,0.5125628141,102,199,-0.4696969697,-31,66,0.3445945946,102,296
alphabet,script,3.5,0.3567839196,71,199,-0.641025641,-50,78,0.2171253823,71,327
aluminum,oxygen,1.608695652,0.3718592965,74,199,-0.6233766234,-48,77,0.2283950617,74,324
amount,distance,1.958333333,0.0100502513,2,199,-0.9898989899,-98,99,0.0050505051,2,396
amount,number,4.136363636,0.1909547739,38,199,-0.808988764,-72,89,0.1055555556,38,360
amount,season,1.434782609,0.0150753769,3,199,-0.9797979798,-97,99,0.0075949367,3,395
amusement,athletics,2.6,0.0301507538,6,199,-0.9693877551,-95,98,0.0153061224,6,392
amusement,play,4.041666667,0.0301507538,6,199,-0.9693877551,-95,98,0.0153061224,6,392
amusement,procedure,1.454545455,0,0,199,-0.99,-99,100,0,0,398
anatomy,creation,2.565217391,0.0150753769,3,199,-0.9797979798,-97,99,0.0075949367,3,395
animal,flora,2,0.0201005025,4,199,-0.9696969697,-96,99,0.0101522843,4,394
animal,worm,2.72,0.2663316583,53,199,-0.7176470588,-61,85,0.1536231884,53,345
ankle,joint,4.227272727,0.4824120603,96,199,-0.5147058824,-35,68,0.3178807947,96,302
anniversary,birthday,3.727272727,0.7236180905,144,199,-0.25,-11,44,0.5669291339,144,254
answer,plea,2.44,0.0954773869,19,199,-0.8947368421,-85,95,0.0501319261,19,379
apparel,dress,4.227272727,0.5326633166,106,199,-0.453125,-29,64,0.3630136986,106,292
appearance,shadow,2.52173913,0.0854271357,17,199,-0.8958333333,-86,96,0.0446194226,17,381
apple,bank,1.125,0,0,199,-0.99,-99,100,0,0,398
apple,orange,3.47826087,0.3266331658,65,199,-0.6543209877,-53,81,0.1951951952,65,333
apple,pod,2.043478261,0.3366834171,67,199,-0.65,-52,80,0.2024169184,67,331
appliance,dryer,3.333333333,0.2311557789,46,199,-0.7586206897,-66,87,0.1306818182,46,352
appliance,refrigerator,4.227272727,0.1959798995,39,199,-0.797752809,-71,89,0.1086350975,39,359
approach,swing,1.652173913,0.0050251256,1,199,-0.98,-98,100,0.0025188917,1,397
approval,encouragement,2.863636364,0.3618090452,72,199,-0.6282051282,-49,78,0.2208588957,72,326
approving,interaction,2,0.0050251256,1,199,-0.98,-98,100,0.0025188917,1,397
arc,rainbow,3.347826087,0.0502512563,10,199,-0.9484536082,-92,97,0.0257731959,10,388
architecture,engineering,3.25,0.2261306533,45,199,-0.7701149425,-67,87,0.1274787535,45,353
area,patio,2.545454545,0.0351758794,7,199,-0.9591836735,-94,98,0.0179028133,7,391
area,region,4.318181818,0.4070351759,81,199,-0.5733333333,-43,75,0.2555205047,81,317
argument,evidence,3.045454545,0.1608040201,32,199,-0.8351648352,-76,91,0.087431694,32,366
argument,indication,1.772727273,0.0753768844,15,199,-0.9166666667,-88,96,0.0391644909,15,383
arm,arrow,2.230769231,0.040201005,8,199,-0.9489795918,-93,98,0.0205128205,8,390
arm,missile,2.772727273,0,0,199,-0.99,-99,100,0,0,398
armor,mail,1.913043478,0.0100502513,2,199,-0.9898989899,-98,99,0.0050505051,2,396
army,legion,3.285714286,0.608040201,121,199,-0.3684210526,-21,57,0.4368231047,121,277
aroma,fragrance,4.681818182,0.5376884422,107,199,-0.4603174603,-29,63,0.3676975945,107,291
aroma,smell,4.19047619,0.7336683417,146,199,-0.2619047619,-11,42,0.5793650794,146,252
arrangement,blizzard,1.25,0.0100502513,2,199,-0.9898989899,-98,99,0.0050505051,2,396
arrangement,room,2.380952381,0,0,199,-0.99,-99,100,0,0,398
